,Snelheid,Omvang1,Positie1,Omvang2,Positie2,Relatie,Speed
349,7.0,0.0,-90.0,45.0,-60.0,75.0,3.6336194942049014
350,7.0,0.0,-60.0,0.0,-45.0,45.0,1.6093396896551861
351,7.0,0.0,-60.0,0.0,0.0,45.0,1.2274036891502327
352,7.0,0.0,-15.0,0.0,-30.0,0.0,0.728359383708331
353,7.0,0.0,-15.0,45.0,-30.0,45.0,3.5657299860562097
354,7.0,0.0,0.0,0.0,-60.0,15.0,2.350668313851284
355,7.0,0.0,15.0,15.0,-15.0,60.0,2.9382768693224546
356,7.0,0.0,30.0,75.0,-75.0,75.0,3.1031741511923827
357,7.0,0.0,75.0,30.0,-30.0,30.0,2.3200217164065786
358,7.0,15.0,-90.0,30.0,-75.0,-45.0,2.9563418964824844
359,7.0,15.0,-75.0,60.0,30.0,-30.0,4.284774121943505
360,7.0,15.0,-30.0,15.0,0.0,-30.0,2.3237095918325155
361,7.0,15.0,-30.0,45.0,-60.0,-75.0,5.914408587522173
362,7.0,15.0,-15.0,30.0,-75.0,-60.0,3.994628620554908
363,7.0,15.0,15.0,60.0,-45.0,45.0,3.4659520765753156
364,7.0,15.0,15.0,75.0,-45.0,15.0,3.4777658635489574
365,7.0,15.0,30.0,60.0,15.0,0.0,4.6307111406249435
366,7.0,15.0,60.0,15.0,30.0,-45.0,3.3932534379165644
367,7.0,15.0,60.0,45.0,-60.0,-75.0,3.944277174828263
368,7.0,15.0,75.0,15.0,-60.0,60.0,3.1934297225941117
369,7.0,30.0,-75.0,0.0,-30.0,-15.0,1.9225230604244679
370,7.0,30.0,-45.0,15.0,-15.0,-60.0,2.7241665144402374
371,7.0,30.0,-45.0,30.0,-75.0,0.0,5.848568491202039
372,7.0,30.0,-45.0,30.0,15.0,15.0,3.6652846004753887
373,7.0,30.0,-30.0,0.0,-75.0,0.0,2.6578009424058195
374,7.0,30.0,-30.0,15.0,-60.0,-60.0,3.21760538933666
375,7.0,30.0,-15.0,15.0,15.0,30.0,2.522772350881607
376,7.0,30.0,30.0,0.0,-45.0,75.0,1.721919738527894
377,7.0,30.0,60.0,75.0,-45.0,-15.0,4.056653857911366
378,7.0,45.0,-60.0,45.0,-45.0,60.0,4.382360945511707
379,7.0,45.0,-45.0,30.0,-90.0,45.0,4.402342039839018
380,7.0,45.0,45.0,0.0,-60.0,30.0,3.458436204519939
381,7.0,45.0,60.0,15.0,30.0,0.0,4.7905866921189855
382,7.0,45.0,60.0,60.0,-60.0,-60.0,6.373107023327553
