['12:03:12.182', '[6. 5.]']
['12:03:12.209', '[6. 4.]']
['12:03:12.232', '[6. 4.]']
['12:03:12.256', '[6. 4.]']
['12:03:12.283', '[6. 4.]']
['12:03:12.306', '[6. 4.]']
['12:03:12.330', '[6. 4.]']
['12:03:12.358', '[6. 4.]']
['12:03:12.384', '[6. 4.]']
['12:03:12.408', '[6. 4.]']
['12:03:12.434', '[6. 4.]']
['12:03:12.456', '[6. 4.]']
['12:03:12.484', '[6. 4.]']
['12:03:12.506', '[6. 4.]']
['12:03:12.532', '[6. 5.]']
['12:03:12.558', '[6. 4.]']
['12:03:12.581', '[6. 4.]']
['12:03:12.607', '[6. 4.]']
['12:03:12.633', '[6. 4.]']
['12:03:12.661', '[6. 4.]']
['12:03:12.692', '[6. 4.]']
['12:03:12.719', '[6. 4.]']
['12:03:12.743', '[6. 4.]']
['12:03:12.774', '[6. 4.]']
['12:03:12.800', '[6. 5.]']
['12:03:12.820', '[6. 4.]']
['12:03:12.864', '[6. 4.]']
['12:03:12.885', '[6. 4.]']
['12:03:12.905', '[7. 4.]']
['12:03:12.939', '[6. 4.]']
['12:03:12.956', '[6. 4.]']
['12:03:12.981', '[6. 4.]']
['12:03:13.002', '[6. 4.]']
['12:03:13.025', '[6. 4.]']
['12:03:13.048', '[6. 4.]']
['12:03:13.074', '[6. 4.]']
['12:03:13.092', '[6. 4.]']
['12:03:13.108', '[6. 4.]']
['12:03:13.136', '[6. 4.]']
['12:03:13.163', '[6. 4.]']
['12:03:13.187', '[6. 4.]']
['12:03:13.208', '[6. 5.]']
['12:03:13.234', '[6. 5.]']
['12:03:13.263', '[6. 4.]']
['12:03:13.284', '[6. 4.]']
['12:03:13.309', '[6. 4.]']
['12:03:13.339', '[7. 4.]']
['12:03:13.362', '[6. 4.]']
['12:03:13.389', '[6. 4.]']
['12:03:13.418', '[6. 4.]']
['12:03:13.450', '[6. 4.]']
['12:03:13.506', '[6. 4.]']
['12:03:13.551', '[6. 4.]']
['12:03:13.572', '[6. 4.]']
['12:03:13.605', '[5. 4.]']
['12:03:13.632', '[6. 4.]']
['12:03:13.662', '[6. 4.]']
['12:03:13.684', '[6. 4.]']
['12:03:13.738', '[6. 4.]']
['12:03:13.770', '[6. 4.]']
['12:03:13.800', '[6. 4.]']
['12:03:13.822', '[6. 4.]']
['12:03:13.844', '[6. 4.]']
['12:03:13.869', '[6. 4.]']
['12:03:13.895', '[6. 4.]']
['12:03:13.922', '[6. 5.]']
['12:03:13.951', '[6. 4.]']
['12:03:13.981', '[6. 4.]']
['12:03:14.004', '[6. 4.]']
['12:03:14.029', '[6. 4.]']
['12:03:14.052', '[6. 4.]']
['12:03:14.077', '[6. 4.]']
['12:03:14.114', '[6. 4.]']
['12:03:14.156', '[6. 4.]']
['12:03:14.183', '[6. 4.]']
['12:03:14.209', '[6. 4.]']
['12:03:14.235', '[6. 4.]']
['12:03:14.265', '[6. 5.]']
['12:03:14.294', '[6. 5.]']
['12:03:14.316', '[6. 4.]']
['12:03:14.347', '[6. 4.]']
['12:03:14.393', '[6. 4.]']
['12:03:14.433', '[6. 4.]']
['12:03:14.468', '[6. 4.]']
['12:03:14.497', '[6. 4.]']
['12:03:14.524', '[6. 4.]']
['12:03:14.544', '[6. 4.]']
['12:03:14.579', '[6. 4.]']
['12:03:14.605', '[6. 4.]']
['12:03:14.638', '[6. 4.]']
['12:03:14.675', '[6. 4.]']
['12:03:14.716', '[6. 5.]']
['12:03:14.760', '[6. 4.]']
['12:03:14.804', '[6. 5.]']
['12:03:14.855', '[6. 4.]']
['12:03:14.893', '[6. 4.]']
['12:03:14.919', '[6. 4.]']
['12:03:14.946', '[6. 4.]']
['12:03:14.973', '[6. 4.]']
['12:03:14.995', '[6. 4.]']
['12:03:15.008', '[6. 4.]']
['12:03:15.029', '[6. 4.]']
['12:03:15.042', '[6. 4.]']
['12:03:15.062', '[6. 4.]']
['12:03:15.073', '[6. 4.]']
['12:03:15.090', '[6. 4.]']
['12:03:15.105', '[6. 4.]']
['12:03:15.115', '[6. 5.]']
['12:03:15.136', '[6. 4.]']
['12:03:15.153', '[6. 4.]']
['12:03:15.175', '[6. 4.]']
['12:03:15.209', '[6. 4.]']
['12:03:15.245', '[6. 4.]']
['12:03:15.301', '[6. 4.]']
['12:03:15.324', '[6. 4.]']
['12:03:15.341', '[6. 4.]']
['12:03:15.361', '[6. 4.]']
['12:03:15.378', '[6. 4.]']
['12:03:15.399', '[7. 4.]']
['12:03:15.429', '[6. 4.]']
['12:03:15.473', '[6. 4.]']
['12:03:15.505', '[6. 4.]']
['12:03:15.528', '[6. 4.]']
['12:03:15.553', '[6. 4.]']
['12:03:15.579', '[6. 4.]']
['12:03:15.607', '[6. 4.]']
['12:03:15.635', '[6. 4.]']
['12:03:15.652', '[6. 5.]']
['12:03:15.668', '[6. 4.]']
['12:03:15.685', '[6. 4.]']
['12:03:15.708', '[6. 4.]']
['12:03:15.731', '[6. 4.]']
['12:03:15.757', '[6. 4.]']
['12:03:15.792', '[6. 4.]']
['12:03:15.835', '[6. 4.]']
['12:03:15.904', '[6. 4.]']
['12:03:15.962', '[6. 4.]']
['12:03:15.997', '[6. 4.]']
['12:03:16.038', '[6. 4.]']
['12:03:16.072', '[6. 4.]']
['12:03:16.102', '[6. 4.]']
['12:03:16.128', '[6. 4.]']
['12:03:16.154', '[6. 4.]']
['12:03:16.183', '[6. 4.]']
['12:03:16.213', '[6. 4.]']
['12:03:16.241', '[6. 4.]']
['12:03:16.269', '[6. 5.]']
['12:03:16.294', '[6. 5.]']
['12:03:16.314', '[6. 4.]']
['12:03:16.337', '[6. 5.]']
['12:03:16.365', '[6. 4.]']
['12:03:16.389', '[6. 4.]']
['12:03:16.411', '[6. 4.]']
['12:03:16.441', '[6. 4.]']
['12:03:16.461', '[6. 4.]']
['12:03:16.488', '[6. 4.]']
['12:03:16.503', '[7. 4.]']
['12:03:16.516', '[6. 4.]']
['12:03:16.533', '[6. 4.]']
['12:03:16.571', '[6. 4.]']
['12:03:16.581', '[6. 4.]']
['12:03:16.597', '[6. 4.]']
['12:03:16.609', '[6. 4.]']
['12:03:16.623', '[6. 5.]']
['12:03:16.634', '[6. 4.]']
['12:03:16.644', '[6. 4.]']
['12:03:16.660', '[6. 4.]']
['12:03:16.671', '[6. 4.]']
