['timestamp', 'frequency', 'amplitudes', 'offsets', 'phase_biases']
['12:12:05.453', '0.9', '[64, 2]', '[-75, 54]', '[55.0]']
['12:12:13.658', '0.4', '[64, 2]', '[-75, 54]', '[55.0]']
['12:12:13.863', '0.4', '[32, 2]', '[-75, 54]', '[55.0]']
['12:12:14.066', '0.4', '[32, 2]', '[22, 54]', '[55.0]']
['12:12:14.276', '0.4', '[32, 80]', '[22, 54]', '[55.0]']
['12:12:14.685', '0.4', '[32, 80]', '[22, 54]', '[-67.0]']
['12:12:23.100', '0.4', '[0, 80]', '[22, 54]', '[-67.0]']
['12:12:23.459', '0.4', '[0, 80]', '[70, 54]', '[-67.0]']
['12:12:23.535', '0.4', '[0, 33]', '[70, 54]', '[-67.0]']
['12:12:23.731', '0.4', '[0, 33]', '[70, -37]', '[-67.0]']
['12:12:23.916', '0.4', '[0, 33]', '[70, -37]', '[25.0]']
['12:12:32.174', '0.7', '[0, 33]', '[70, -37]', '[25.0]']
['12:12:32.331', '0.7', '[64, 33]', '[70, -37]', '[25.0]']
['12:12:32.553', '0.7', '[64, 33]', '[85, -37]', '[25.0]']
['12:12:32.941', '0.7', '[64, 33]', '[85, -52]', '[25.0]']
['12:12:33.172', '0.7', '[64, 33]', '[85, -52]', '[-35.0]']
['12:12:41.377', '0.5', '[64, 33]', '[85, -52]', '[-35.0]']
['12:12:41.598', '0.5', '[79, 33]', '[85, -52]', '[-35.0]']
['12:12:41.820', '0.5', '[79, 33]', '[-76, -52]', '[-35.0]']
['12:12:42.004', '0.5', '[79, 17]', '[-76, -52]', '[-35.0]']
['12:12:42.195', '0.5', '[79, 17]', '[-76, 85]', '[-35.0]']
['12:12:42.398', '0.5', '[79, 17]', '[-76, 85]', '[72.0]']
['12:12:50.622', '0.9', '[79, 17]', '[-76, 85]', '[72.0]']
['12:12:50.819', '0.9', '[31, 17]', '[-76, 85]', '[72.0]']
['12:12:51.017', '0.9', '[31, 17]', '[-59, 85]', '[72.0]']
['12:12:51.220', '0.9', '[31, 33]', '[-59, 85]', '[72.0]']
['12:12:51.419', '0.9', '[31, 33]', '[-59, -7]', '[72.0]']
['12:12:51.625', '0.9', '[31, 33]', '[-59, -7]', '[-20.0]']
['12:12:59.839', '0.0', '[31, 33]', '[-59, -7]', '[-20.0]']
