['timestamp', 'frequency', 'amplitudes', 'offsets', 'phase_biases']
['10:25:52.587', '0.0', '[0, 0.0]', '[-90, -13]', '[-90.0]']
['10:25:52.591', '0.0', '[0, 0.0]', '[-90, -14]', '[-90.0]']
['10:25:52.621', '0.0', '[0, 0.0]', '[-90, -36]', '[-90.0]']
['10:25:52.623', '0.0', '[0, 0.0]', '[-90, -38]', '[-90.0]']
['10:25:52.623', '0.0', '[0, 0.0]', '[-90, -40]', '[-90.0]']
['10:25:52.625', '0.0', '[0, 0.0]', '[-90, -42]', '[-90.0]']
['10:25:52.626', '0.0', '[0, 0.0]', '[-90, -44]', '[-90.0]']
['10:25:52.628', '0.0', '[0, 0.0]', '[-90, -45]', '[-90.0]']
['10:25:52.630', '0.0', '[0, 0.0]', '[-90, -52]', '[-90.0]']
['10:25:52.633', '0.0', '[0, 0.0]', '[-90, -54]', '[-90.0]']
['10:25:52.634', '0.0', '[0, 0.0]', '[-90, -55]', '[-90.0]']
['10:25:52.636', '0.0', '[0, 0.0]', '[-90, -56]', '[-90.0]']
['10:25:52.637', '0.0', '[0, 0.0]', '[-90, -60]', '[-90.0]']
['10:25:52.638', '0.0', '[0, 0.0]', '[-90, -62]', '[-90.0]']
['10:25:53.022', '0.0', '[0, 0.0]', '[-90, -63]', '[-90.0]']
['10:25:53.368', '0.0', '[0, 0.0]', '[-90, -90]', '[-90.0]']
['10:28:36.099', '0.5', '[0, 0.0]', '[-90, -90]', '[-90.0]']
['10:28:36.302', '0.5', '[80, 0.0]', '[-90, -90]', '[-90.0]']
['10:28:36.503', '0.5', '[80, 0.0]', '[-74, -90]', '[-90.0]']
['10:28:36.700', '0.5', '[80, 47]', '[-74, -90]', '[-90.0]']
['10:28:36.900', '0.5', '[80, 47]', '[-74, -13]', '[-90.0]']
['10:28:37.101', '0.5', '[80, 47]', '[-74, -13]', '[62.0]']
STOP
['10:29:05.272', '0.5', '[80, 47]', '[-74, -13]', '[62.0]']
STOP
['10:29:05.988', '0.0', '[0, 0]', '[0, 0]', '[0.0]']
['10:29:08.486', '0.0', '[0, 0]', '[-2, 0]', '[0.0]']
['10:29:08.490', '0.0', '[0, 0]', '[-3, 0]', '[0.0]']
['10:29:08.493', '0.0', '[0, 0]', '[-4, 0]', '[0.0]']
['10:29:08.496', '0.0', '[0, 0]', '[-5, 0]', '[0.0]']
['10:29:08.513', '0.0', '[0, 0]', '[-6, 0]', '[0.0]']
['10:29:08.513', '0.0', '[0, 0]', '[-18, 0]', '[0.0]']
['10:29:08.513', '0.0', '[0, 0]', '[-20, 0]', '[0.0]']
['10:29:08.515', '0.0', '[0, 0]', '[-24, 0]', '[0.0]']
['10:29:08.516', '0.0', '[0, 0]', '[-28, 0]', '[0.0]']
['10:29:08.518', '0.0', '[0, 0]', '[-30, 0]', '[0.0]']
['10:29:08.520', '0.0', '[0, 0]', '[-31, 0]', '[0.0]']
['10:29:08.521', '0.0', '[0, 0]', '[-34, 0]', '[0.0]']
['10:29:08.522', '0.0', '[0, 0]', '[-36, 0]', '[0.0]']
['10:29:08.539', '0.0', '[0, 0]', '[-38, 0]', '[0.0]']
['10:29:08.539', '0.0', '[0, 0]', '[-72, 0]', '[0.0]']
['10:29:08.539', '0.0', '[0, 0]', '[-74, 0]', '[0.0]']
['10:29:08.540', '0.0', '[0, 0]', '[-78, 0]', '[0.0]']
['10:29:08.542', '0.0', '[0, 0]', '[-82, 0]', '[0.0]']
['10:29:08.545', '0.0', '[0, 0]', '[-85, 0]', '[0.0]']
['10:29:08.547', '0.0', '[0, 0]', '[-90, 0]', '[0.0]']
['10:29:09.914', '0.0', '[0, 0]', '[-90, -2]', '[0.0]']
['10:29:09.937', '0.0', '[0, 0]', '[-90, -10]', '[0.0]']
['10:29:09.940', '0.0', '[0, 0]', '[-90, -11]', '[0.0]']
['10:29:09.945', '0.0', '[0, 0]', '[-90, -12]', '[0.0]']
['10:29:09.947', '0.0', '[0, 0]', '[-90, -14]', '[0.0]']
['10:29:09.961', '0.0', '[0, 0]', '[-90, -28]', '[0.0]']
['10:29:09.965', '0.0', '[0, 0]', '[-90, -32]', '[0.0]']
['10:29:09.965', '0.0', '[0, 0]', '[-90, -34]', '[0.0]']
['10:29:09.967', '0.0', '[0, 0]', '[-90, -35]', '[0.0]']
['10:29:09.968', '0.0', '[0, 0]', '[-90, -39]', '[0.0]']
