Angles_0,Angles_1,freq,amp_1,amp_2,offset_1,offset_2,phase,Potentials_0,Potentials_1,Speed
-7.36,-11.44,0.4,80,65,-10,-18,7.0,-13.,-16.,6.231032005987498
20.7,-78.92,0.8,32,62,54,-18,-5.0,29.,-63.,6.220585461892484
10.02,27.82,0.3,79,64,24,36,-85.0,10.,45.,6.211256400172343
17.55,101.3,0.6,64,79,-39,40,38.0,19.,94.,6.204680179997026
75.58,79.07,0.3,80,2,69,82,66.0,87.,111.,6.202091598096908
-157.69,-66.23,0.9,80,63,-90,-21,11.0,32.,-38.,6.196566984849012
95.63,49.76,0.8,32,16,71,55,-82.0,94.,43.,6.185772676271618
-50.65,40.53,0.6,32,63,-26,23,-53.0,-38.,60.,6.1570671116309486
-44.15,82.,0.9,64,0,7,86,-66.0,-23.,84.,6.153872740289123
19.56,75.99,0.8,64,0,23,80,-20.0,26.,85.,6.139589923085993
85.22,95.06,0.3,79,64,-42,37,-54.0,95.,92.,6.139159903801189
64.33,5.16,0.7,63,46,-4,-40,40.0,65.,13.,6.135557984268741
-77.35,-81.4,0.9,48,61,-72,-22,54.0,-55.,-65.,6.129730302782954
-55.94,-57.54,0.6,48,0,-23,-63,52.0,-45.,-54.,6.1272701304769255
-70.25,-21.02,0.7,79,31,9,7,54.0,-58.,-23.,6.126682463784237
-3.89,65.11,0.7,63,63,42,69,-70.0,-5.,53.,6.126053515467184
98.25,14.93,0.6,64,61,57,-7,-26.0,91.,4.,6.124154036576157
46.92,39.31,0.6,64,47,-10,-4,9.0,44.,37.,6.115396426462683
105.73,42.46,0.7,48,16,72,35,8.0,95.,39.,6.113355470654528
69.73,38.58,0.8,64,48,23,21,20.0,59.,31.,6.1095424862103
-36.83,-71.67,0.7,64,77,5,10,36.0,-19.,-63.,6.106662589584489
35.85,-107.65,0.9,32,46,88,-84,-56.0,42.,-47.,6.102190806630431
-20.7,-15.1,0.4,0,0,-12,9,-53.0,-14.,-12.,6.101989540629615
-37.63,-12.1,0.6,80,65,-58,-83,-71.0,-15.,-10.,6.100640279641656
40.22,-95.34,0.7,48,64,72,-51,-51.0,31.,-87.,6.099643907890436
-81.92,-7.19,0.8,48,64,-40,36,-85.0,-85.,6.,6.089033949845714
55.03,19.66,0.7,48,16,72,35,8.0,45.,14.,6.086746864369148
10.14,28.11,0.8,80,79,-52,-52,-71.0,9.,58.,6.08361975967874
-24.4,-4.31,0.6,80,1,-27,-8,-9.0,-4.,1.,6.080202977692614
-115.83,-69.86,0.5,48,78,-71,-11,10.0,-87.,-59.,6.079275870357642
-114.46,43.35,0.9,47,64,-87,83,-9.0,-86.,100.,6.078558056484522
-43.81,-122.6,0.8,32,63,-42,-69,-54.0,-49.,-89.,6.076680554074103
0.77,-54.54,0.7,48,47,24,-10,22.0,12.,-40.,6.076463608393236
-51.,-27.48,0.5,79,48,-9,-7,-7.0,-32.,-11.,6.074071466751742
-68.31,-40.,0.7,79,33,-88,-37,-38.0,-84.,-43.,6.072751948757874
110.98,9.36,0.4,79,16,88,-35,9.0,95.,15.,6.069833345391039
-23.56,42.39,0.5,79,76,-10,-53,20.0,-6.,65.,6.0624012093069055
-35.68,65.2,0.7,48,48,-76,50,6.0,-23.,77.,6.057872024489872
-41.93,137.08,0.8,16,78,-41,78,-90.0,-29.,101.,6.054135451320284
