['12:03:09.615', '[-3. -4.]']
['12:03:09.633', '[-3. -4.]']
['12:03:09.659', '[-3. -4.]']
['12:03:09.696', '[-3. -4.]']
['12:03:09.720', '[-3. -4.]']
['12:03:09.739', '[-3. -4.]']
['12:03:09.765', '[-3. -4.]']
['12:03:09.785', '[-3. -4.]']
['12:03:09.809', '[-3. -4.]']
['12:03:09.841', '[-3. -4.]']
['12:03:09.864', '[-3. -4.]']
['12:03:09.887', '[-3. -4.]']
['12:03:09.912', '[-3. -4.]']
['12:03:09.935', '[-3. -4.]']
['12:03:09.959', '[-3. -4.]']
['12:03:09.986', '[-3. -4.]']
['12:03:10.008', '[-3. -4.]']
['12:03:10.035', '[-3. -4.]']
['12:03:10.060', '[-3. -4.]']
['12:03:10.083', '[-3. -4.]']
['12:03:10.109', '[-3. -4.]']
['12:03:10.133', '[-3. -4.]']
['12:03:10.157', '[-3. -4.]']
['12:03:10.184', '[-3. -4.]']
['12:03:10.209', '[-3. -4.]']
['12:03:10.236', '[-3. -4.]']
['12:03:10.262', '[-3. -4.]']
['12:03:10.292', '[-3. -4.]']
['12:03:10.313', '[-3. -4.]']
['12:03:10.337', '[-3. -4.]']
['12:03:10.360', '[-3. -4.]']
['12:03:10.384', '[-3. -4.]']
['12:03:10.409', '[-3. -4.]']
['12:03:10.444', '[-3. -4.]']
['12:03:10.458', '[-3. -4.]']
['12:03:10.486', '[-3. -4.]']
['12:03:10.510', '[-3. -4.]']
['12:03:10.535', '[-3. -4.]']
['12:03:10.560', '[-3. -4.]']
['12:03:10.586', '[-3. -4.]']
['12:03:10.609', '[-3. -4.]']
['12:03:10.632', '[-3. -4.]']
['12:03:10.657', '[-3. -4.]']
['12:03:10.683', '[-3. -4.]']
['12:03:10.710', '[-3. -4.]']
['12:03:10.736', '[-3. -4.]']
['12:03:10.758', '[-3. -4.]']
['12:03:10.784', '[-3. -4.]']
['12:03:10.807', '[-3. -4.]']
['12:03:10.832', '[-3. -4.]']
['12:03:10.858', '[-3. -4.]']
['12:03:10.884', '[-3. -4.]']
['12:03:10.908', '[-3. -4.]']
['12:03:10.934', '[-3. -4.]']
['12:03:10.959', '[-3. -4.]']
['12:03:10.981', '[-3. -4.]']
['12:03:11.009', '[-3. -4.]']
['12:03:11.033', '[-3. -4.]']
['12:03:11.058', '[-3. -4.]']
['12:03:11.084', '[-3. -4.]']
['12:03:11.108', '[-3. -4.]']
['12:03:11.133', '[-3. -4.]']
['12:03:11.157', '[-3. -4.]']
['12:03:11.181', '[-3. -4.]']
['12:03:11.208', '[-3. -4.]']
['12:03:11.232', '[-3. -4.]']
['12:03:11.256', '[-3. -4.]']
['12:03:11.284', '[-3. -4.]']
['12:03:11.308', '[-3. -4.]']
['12:03:11.332', '[-3. -4.]']
['12:03:11.358', '[-3. -4.]']
['12:03:11.384', '[-3. -4.]']
['12:03:11.408', '[-3. -4.]']
['12:03:11.433', '[-3. -4.]']
['12:03:11.456', '[-3. -4.]']
['12:03:11.481', '[-3. -4.]']
['12:03:11.509', '[-3. -4.]']
['12:03:11.534', '[-3. -4.]']
['12:03:11.558', '[-3. -4.]']
['12:03:11.581', '[-3. -4.]']
['12:03:11.610', '[-3. -4.]']
['12:03:11.633', '[-3. -4.]']
['12:03:11.658', '[-3. -4.]']
['12:03:11.695', '[-3. -4.]']
['12:03:11.709', '[-3. -4.]']
['12:03:11.732', '[-3. -4.]']
['12:03:11.759', '[-3. -4.]']
['12:03:11.782', '[-3. -4.]']
['12:03:11.809', '[-3. -4.]']
['12:03:11.833', '[-3. -4.]']
['12:03:11.858', '[-3. -4.]']
['12:03:11.884', '[-3. -4.]']
['12:03:11.908', '[-3. -4.]']
['12:03:11.932', '[-3. -4.]']
['12:03:11.956', '[-3. -4.]']
['12:03:11.997', '[-3. -4.]']
['12:03:12.024', '[-3. -4.]']
['12:03:12.043', '[-3. -4.]']
['12:03:12.057', '[-3. -4.]']
['12:03:12.084', '[-3. -4.]']
['12:03:12.108', '[-3. -4.]']
['12:03:12.134', '[-3. -4.]']
['12:03:12.157', '[-3. -4.]']
['12:03:12.182', '[-3. -4.]']
['12:03:12.209', '[-3. -4.]']
['12:03:12.232', '[-3. -4.]']
['12:03:12.256', '[-3. -4.]']
['12:03:12.283', '[-3. -4.]']
['12:03:12.306', '[-3. -4.]']
['12:03:12.330', '[-3. -4.]']
['12:03:12.358', '[-3. -4.]']
['12:03:12.384', '[-3. -4.]']
['12:03:12.408', '[-3. -4.]']
['12:03:12.434', '[-3. -4.]']
['12:03:12.456', '[-3. -4.]']
['12:03:12.484', '[-3. -4.]']
['12:03:12.506', '[-3. -4.]']
['12:03:12.532', '[-3. -4.]']
['12:03:12.558', '[-3. -4.]']
['12:03:12.581', '[-3. -4.]']
['12:03:12.607', '[-3. -4.]']
['12:03:12.633', '[-3. -4.]']
['12:03:12.661', '[-3. -4.]']
['12:03:12.692', '[-3. -4.]']
['12:03:12.719', '[-3. -4.]']
['12:03:12.743', '[-3. -4.]']
['12:03:12.774', '[-3. -4.]']
['12:03:12.800', '[-3. -4.]']
['12:03:12.820', '[-3. -4.]']
['12:03:12.864', '[-3. -4.]']
['12:03:12.885', '[-3. -4.]']
['12:03:12.905', '[-3. -4.]']
['12:03:12.939', '[-3. -4.]']
